,Real Values,Predicted Values
0,0.02112676,0.032126933
1,0.16197182,0.20437673
2,0.036217302,0.04586327
3,0.09758551,0.17064749
4,0.012072435,0.023759035
5,0.07344064,0.10051659
6,0.052313883,0.06408922
7,0.15694164,0.14335515
8,0.07042253,0.074274436
9,0.19315895,0.24330103
10,0.029175049,0.036706842
11,0.12273642,0.1497235
12,0.079476856,0.0943535
13,0.16498993,0.17896798
14,0.019114688,0.038419552
15,0.087525144,0.0912136
16,0.1277666,0.13673757
17,0.14285713,0.16036502
18,0.058350097,0.13703473
19,0.0090543255,0.02064439
20,0.014084507,0.02404439
21,0.02414487,0.05276493
22,0.016096579,0.02558093
23,0.09255533,0.10698064
24,0.059356134,0.06170899
25,0.05030181,0.1359652
26,0.019114688,0.032229044
27,0.10060362,0.10637386
28,0.08249497,0.09743442
29,0.2535211,0.28051206
30,0.010060362,0.026851114
31,0.056338027,0.06773265
32,0.015090543,0.033945244
33,0.0090543255,0.025993846
34,0.027162977,0.025126457
35,0.022132795,0.041627176
36,0.06338028,0.091185376
37,0.02112676,0.07749461
38,0.036217302,0.028456163
39,0.08249497,0.080877595
40,0.11167002,0.12302062
41,0.14788732,0.12072916
42,0.11368209,0.10072851
43,0.1498994,0.17669205
44,0.1498994,0.15085866
45,0.35412472,0.35585502
46,0.016096579,0.031065233
47,0.07142857,0.052893575
48,0.09657948,0.10163848
49,0.016096579,0.16004005
50,0.02414487,0.024561187
51,0.020120723,0.02904498
52,0.018108651,0.020163838
53,0.018108651,0.025787668
54,0.023138832,0.03964691
55,0.090543255,0.0981466
56,0.08048289,0.100789815
57,0.056338027,0.09330106
58,0.11066398,0.095404774
59,0.16096579,0.2420519
60,0.10362173,0.10533595
61,0.15191147,0.19487251
62,0.20422535,0.21202195
63,0.018108651,0.02764792
64,0.020120723,0.029543057
65,0.08148893,0.089226305
66,0.12575452,0.12302405
67,0.010060362,0.030304529
68,0.02112676,0.029164646
69,0.049295772,0.05664202
70,0.030181086,0.053626712
71,0.14084506,0.121294945
72,0.23440643,0.2257856
73,0.28772634,0.2999243
74,0.30985916,0.31845173
75,0.16197182,0.1482547
76,0.0,0.031262815
77,0.32595572,0.30528042
78,0.26358148,0.24052581
79,0.27967805,0.28653213
80,0.12072434,0.13411139
81,0.15191147,0.17682895
82,0.08148893,0.030791637
83,0.10663983,0.12365985
84,0.1498994,0.12679721
85,0.19014084,0.19193697
86,0.17706236,0.18962544
87,0.09758551,0.2052998
88,0.017102616,0.037181165
89,0.05030181,0.050528515
90,0.017102616,0.028371979
91,0.011066398,0.023489814
92,0.020120723,0.033999816
93,0.026156941,0.06268492
94,0.13380282,0.13469858
95,0.07746479,0.08669877
96,0.018108651,0.031854
97,0.005030181,0.016041743
98,0.018108651,0.024342451
99,0.064386316,0.059243605
100,0.0472837,0.05419956
101,0.10663983,0.119604215
102,0.15794767,0.16757694
103,0.013078471,0.05761086
104,0.015090543,0.032631736
105,0.05533199,0.08081391
106,0.07645875,0.0888339
107,0.17706236,0.20336844
108,0.2947686,0.30575588
109,0.31187123,0.32578668
110,0.19215292,0.1972762
111,0.12072434,0.14378631
112,0.015090543,0.033743
113,0.06841046,0.09055267
114,0.11468813,0.09943931
115,0.10663983,0.11553587
116,0.15895371,0.16647813
117,0.1639839,0.14988482
118,0.28169012,0.2764161
119,0.4004024,0.41559651
120,0.10764587,0.13236062
121,0.03923541,0.071140826
122,0.022132795,0.027815957
123,0.016096579,0.04197697
124,0.016096579,0.032070905
125,0.045271628,0.06135424
126,0.020120723,0.035160735
127,0.12474848,0.13176386
128,0.13179074,0.14351535
129,0.28169012,0.25785264
130,0.072434604,0.094561204
131,0.13179074,0.11592868
132,0.06136821,0.06778202
133,0.045271628,0.06518551
134,0.07847082,0.100135386
135,0.018108651,0.026002925
136,0.020120723,0.017126372
137,0.03722334,0.04891106
138,0.014084507,0.02651663
